Sequence name	Public_name	WBGeneID	DBD				
F28F9.1	zag-1	WBGene00006970	"ZF - C2H2 - 4 fingers, HD - ZFHD"				
ZC123.3	zfh-2	WBGene00022518	"ZF - C2H2 - 9 fingers, HD - 3 domains"				
F35H8.3	zfp-2	WBGene00009448	ZF - C2H2 - 7 fingers				
W05H7.4	zfp-3	WBGene00021047	ZF - CCCH				
C33H5.17	zgpa-1	WBGene00016383	ZF - CCCH				
T07G12.6	zim-1	WBGene00011597	ZF - C2H2 - 1 finger				
T07G12.10	zim-2	WBGene00011600	ZF - C2H2 - 1 finger				
T07G12.11	zim-3	WBGene00011601	ZF - C2H2 - 1 finger				
Y75B8A.35	zip-1	WBGene00006986	bZIP				
T27F2.4	zip-10	WBGene00012101	bZIP				
W08E12.1	zip-11	WBGene00021082	bZIP				
Y75B8A.29	zip-12	WBGene00013560	bZIP				
K02F3.4	zip-2	WBGene00019327	bZIP				
W07G1.3	zip-3	WBGene00012330	bZIP				
Y44E3B.1	zip-4	WBGene00021552	bZIP				
C34D1.5	zip-5	WBGene00007932	bZIP				
R07H5.10	zip-6	WBGene00011130	bZIP				
Y51H4A.4	zip-7	WBGene00013100	bZIP				
F23F12.9	zip-8	WBGene00017755	bZIP				
ZK1037.13	ZK1037.13	WBGene00045515	ZF - NHR				
ZK1067.2	ZK1067.2	WBGene00014208	ZF - NF-X1 - 2 domains				
ZK177.3	ZK177.3	WBGene00022671	ZF - C2H2 - 1 finger				
ZK185.1	ZK185.1	WBGene00022681	ZF - C2H2 - 1 finger				
ZK546.5	ZK546.5	WBGene00022762	ZF - C2H2 - 3 fingers				
ZK652.6	ZK652.6	WBGene00022785	ZF - C2H2 - 1 finger				
ZK673.4	ZK673.4	WBGene00014060	ZF - BED				
ZK686.5	ZK686.5	WBGene00022795	ZF - C2H2 - 3 fingers				
F54F2.5	ztf-1	WBGene00018833	ZF - C2H2 - 4 fingers				
F52F12.6	ztf-11	WBGene00009939	ZF - C2HC - 2 fingers 				
F52E4.8	ztf-13	WBGene00018704	ZF - C2H2 - 2 fingers				
M163.2	ztf-14	WBGene00010936	ZF - C2H2 - 1 finger				
R06C7.9	ztf-15	WBGene00011066	ZF - C2H2 - 5 fingers				
R08E3.4	ztf-16	WBGene00019960	ZF - C2H2 - 8 fingers				
T09A5.12	ztf-17	WBGene00011639	ZF - C2H2 - 2 fingers				
T24C4.7	ztf-18	WBGene00020763	ZF - C2H2 - 1 finger				
F13G3.1	ztf-2	WBGene00008762	ZF - C2H2 - 3 fingers				
Y39B6A.46	ztf-20	WBGene00012702	ZF - C2H2 - 3 fingers				
Y48C3A.4	ztf-22	WBGene00012988	ZF - C2H2 - 1 finger				
Y54E10BR.8	ztf-23	WBGene00021846	ZF - C2H2 - 6 fingers				
Y6G8.3	ztf-25	WBGene00012405	ZF - C2H2 - 2 fingers				
F55H12.6	ztf-26	WBGene00010137	ZF - C2H2 - 3 fingers				
T09F3.1	ztf-27	WBGene00011661	ZF - C2H2 - 1 finger				
F36F12.8	ztf-28	WBGene00018099	ZF - C2H2 - 2 fingers				
Y66D12A.12	ztf-29	WBGene00013438	ZF - C2H2 - 2 fingers				
C53D5.4	ztf-3	WBGene00016905	ZF - C2H2 - 1 finger				
C06E1.8	ztf-30	WBGene00015523	ZF - C2H2 - 2 fingers				
T10B11.3	ztf-4	WBGene00020399	ZF - C2H2 - 1 finger				
W06H12.1	ztf-6	WBGene00012317	ZF - C2H2 - 2 fingers				
F46B6.7	ztf-7	WBGene00009772	ZF - C2H2 - 4 fingers				
ZC395.8	ztf-8	WBGene00022598	ZF - C2H2 - 3 fingers				
ZK287.6	ztf-9	WBGene00013966	ZF - C2H2 - 3 fingers
