"","LE_1","LE_2","L1_1","L1_2","L3_1","L3_2","LE_IDR","L1_IDR","L3_IDR","summit_agreement","k4cluster","k11cluster","k4weights","k11weights","LE_nonNormed","L1_nonNormed","L3_nonNormed","LE_std","L1_std","L3_std","name","k4labels","variance","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest"
"ELT2peak08689",2.096862,2.045804,3.883621,3.883621,5.682675,6.211225,0,0,1,15.5,4,11,"0.803","1.000","2.071","3.884","5.947","-0.978","-0.043","1.021","ELT2peak08689","Increasing",3.76035358131233,"ELT2peak08689","WBGene00020128",1132993,1148585,"-","inside",-6841,793,"Overlapping"
"ELT2peak08690",2.300395,1.908077,4.240314,4.926949,6.451211,6.711119,1,1,1,16.8888888889148,4,10,"0.958","1.000","2.104","4.584","6.581","-1.034","0.072","0.962","ELT2peak08690","Increasing",5.03007256668058,"ELT2peak08690","WBGene00020128",1132993,1148585,"-","overlapStart",-7913,285,"Overlapping"
"ELT2peak08691",0.612339,0.142019,2.43296,2.847997,3.110424,3.254814,0,0,1,12,4,8,"0.845","1.000","0.377","2.640","3.183","-1.135","0.386","0.750","ELT2peak08691","Increasing",2.21448909034008,"ELT2peak08691","WBGene00020129",1151547,1153545,"-","inside",219,525,"Overlapping"
"ELT2peak08692",2.222393,1.85561,3.613532,2.847997,3.720478,3.769387,0,0,1,44.5,4,10,"0.973","1.000","2.039","3.231","3.745","-1.104","0.258","0.846","ELT2peak08692","Increasing",0.765811392859,"ELT2peak08692","WBGene00020491",1188453,1190752,"-","overlapStart",-1322,115,"Overlapping"
"ELT2peak08693",1.70044,1.415037,2.613532,2.695994,1.801096,1.599462,1,0,0,10.5,2,5,"0.737","1.000","1.558","2.655","1.700","-0.693","1.146","-0.454","ELT2peak08693","Post-embryonic",0.355803375666083,"ELT2peak08693","WBGene00016725",1211760,1230758,"-","inside",-658,8462,"Overlapping"
"ELT2peak08694",1.766713,0.771181,3.111031,3.226509,5.321928,6.119884,0,1,1,27.75,4,11,"0.691","1.000","1.269","3.169","5.721","-0.948","-0.097","1.045","ELT2peak08694","Increasing",4.99044408858433,"ELT2peak08694","WBGene00006635",1245984,1247892,"+","overlapStart",-931,313,"Overlapping"
"ELT2peak08695",1.78182,1.719892,4.918386,5.049631,6.74514,7.152515,0,1,1,35.25,4,10,"0.998","1.000","1.751","4.984","6.949","-1.071","0.161","0.910","ELT2peak08695","Increasing",6.88878275097158,"ELT2peak08695","WBGene00016874",1272788,1275416,"+","overlapStart",-1367,211,"Overlapping"
"ELT2peak08696",1.415038,1.962525,1.226508,0.333424,3.110424,3.669851,0,0,1,6.5,3,7,"0.747","1.000","1.689","0.780","3.390","-0.199","-0.885","1.085","ELT2peak08696","L3-high",1.75559218519808,"ELT2peak08696","WBGene00016874",1272788,1275416,"+","overlapEnd",1498,167,"Overlapping"
"ELT2peak08697",2.052467,2.199309,2.43296,2.111031,3.254814,3.562936,1,1,1,29.6666666666667,3,9,"0.982","1.000","2.126","2.272","3.409","-0.678","-0.470","1.148","ELT2peak08697","L3-high",0.493316340207584,"ELT2peak08697","WBGene00016871",1300149,1309504,"+","inside",-2255,2023,"Overlapping"
"ELT2peak08698",1.63743,1.817136,2.773996,2.570463,4.220048,4.032422,0,0,1,6,4,11,"0.588","1.000","1.727","2.672","4.126","-0.922","-0.140","1.063","ELT2peak08698","Increasing",1.46033776336608,"ELT2peak08698","WBGene00019272",1311605,1316634,"+","overlapStart",-2380,114,"Overlapping"
"ELT2peak08700",1.150243,0.862496,2.43296,2.773996,3.321928,4.032422,0,0,1,10.5,4,10,"0.991","1.000","1.006","2.603","3.677","-1.059","0.130","0.929","ELT2peak08700","Increasing",1.80613047123525,"ELT2peak08700","WBGene00003965",1321353,1327985,"+","inside",-1339,1623,"Overlapping"
"ELT2peak08701",0.926937,0.736966,3.570463,3.226509,2.720478,2.769387,0,0,1,25,2,6,"0.898","1.000","0.832","3.398","2.745","-1.120","0.805","0.315","ELT2peak08701","Post-embryonic",1.77895463723558,"ELT2peak08701","WBGene00017667",1335363,1336915,"-","inside",237,271,"Overlapping"
"ELT2peak08706",1.707819,1.945552,2.9855,2.9855,4.23173,4.386058,0,0,1,40.5,4,11,"0.801","1.000","1.827","2.986","4.309","-0.977","-0.044","1.021","ELT2peak08706","Increasing",1.54259696035308,"ELT2peak08706","WBGene00018939",1372012,1374630,"+","overlapStart",-1264,239,"Overlapping"
"ELT2peak08708",1.563429,1.093109,1.226508,0.847997,3.386058,3.862497,0,0,1,0,3,7,"0.939","1.000","1.328","1.037","3.624","-0.472","-0.677","1.149","ELT2peak08708","L3-high",2.00817399766158,"ELT2peak08708","WBGene00018938",1386248,1388160,"+","inside",-72,637,"Overlapping"
"ELT2peak08713",1.766713,1.353637,3.333424,3.570463,2.534922,3.110424,0,0,1,1,2,6,"0.965","1.000","1.560","3.452","2.823","-1.091","0.872","0.219","ELT2peak08713","Post-embryonic",0.928111769961083,"ELT2peak08713","WBGene00195185",1419503,1420122,"+","overlapStart",-303,241,"Overlapping"
"ELT2peak08717",1.922832,1.798366,2.280956,2.655352,3.477206,3.506353,1,0,1,182,4,11,"0.518","1.000","1.861","2.468","3.492","-0.905","-0.168","1.073","ELT2peak08717","Increasing",0.679613677642583,"ELT2peak08717","WBGene00021047",1440366,1446643,"-","inside",-416,2076,"Overlapping"
"ELT2peak08718",1.260867,1.047306,3.333424,3.226509,3.884864,4.07195,0,0,1,47,4,8,"0.920","1.000","1.154","3.280","3.978","-1.122","0.323","0.798","ELT2peak08718","Increasing",2.16399519886008,"ELT2peak08718","WBGene00021047",1440366,1446643,"-","inside",-2400,391,"Overlapping"
"ELT2peak08719",1.5517,1.86755,2.333424,2.613532,4.652574,5.084889,1,1,1,28.7777777777519,3,9,"0.812","1.000","1.710","2.473","4.869","-0.793","-0.330","1.123","ELT2peak08719","L3-high",2.71677743553558,"ELT2peak08719","WBGene00021047",1440366,1446643,"-","overlapStart",-4002,41,"Overlapping"
"ELT2peak08720",1.163499,1.239951,3.226509,3.38405,3.147899,3.720478,0,0,1,1,4,8,"0.597","1.000","1.202","3.305","3.434","-1.153","0.525","0.628","ELT2peak08720","Increasing",1.57090872393058,"ELT2peak08720","WBGene00021044",1450768,1452306,"+","overlapStart",-806,390,"Overlapping"
"ELT2peak08721",1.222393,1.23816,2.9855,3.43296,1.801096,2.635086,0,0,1,118.5,2,5,"0.958","1.000","1.230","3.209","2.218","-0.999","1.001","-0.001","ELT2peak08721","Post-embryonic",0.979065159815583,"ELT2peak08721","WBGene00021044",1450768,1452306,"+","overlapEnd",541,134,"Overlapping"
"ELT2peak08722",1.368243,1.489038,2.413594,2.333424,5.271888,5.695386,1,1,1,277.555555555581,3,9,"0.831","1.000","1.429","2.374","5.484","-0.786","-0.340","1.126","ELT2peak08722","L3-high",4.50144487894808,"ELT2peak08722","WBGene00016997",1452695,1454000,"-","overlapStart",-1006,263,"Overlapping"
"ELT2peak08725",1.655352,1.415038,3.883621,4.169925,3.417085,3.07195,0,0,1,176.5,2,6,"0.954","1.000","1.535","4.027","3.245","-1.099","0.856","0.243","ELT2peak08725","Post-embryonic",1.62361133439508,"ELT2peak08725","WBGene00016995",1479542,1484398,"+","overlapStart",-2318,387,"Overlapping"
"ELT2peak08726",1.584962,1.036526,2.799087,2.655352,4.102811,4.39855,0,1,1,22.625,4,11,"0.837","1.000","1.311","2.727","4.251","-0.988","-0.024","1.012","ELT2peak08726","Increasing",2.16176048077558,"ELT2peak08726","WBGene00206384",1485906,1486185,"-","overlapStart",-478,5,"Overlapping"
"ELT2peak08727",0.946758,0.830075,2.169925,1.847997,3.506353,4.07195,0,0,1,87,4,11,"0.563","1.000","0.888","2.009","3.789","-0.916","-0.150","1.067","ELT2peak08727","Increasing",2.13982695549925,"ELT2peak08727","WBGene00000988",1486473,1489326,"+","overlapEnd",1716,414,"Overlapping"
"ELT2peak08737",1.517848,1.203533,1.847997,1.883621,2.862497,3.147899,0,0,1,2,3,11,"0.633","1.000","1.361","1.866","3.005","-0.851","-0.251","1.102","ELT2peak08737","L3-high",0.70962615165325,"ELT2peak08737","WBGene00017226",1716442,1718568,"-","overlapStart",-1263,47,"Overlapping"
"ELT2peak08739",1.703018,1.781165,1.847997,2.722466,1.977974,2.288761,1,0,0,0.5,0,0,"0.000","0.000","1.742","2.285","2.133","-1.112","0.827","0.285","ELT2peak08739","Not-changing or not IDR-passing",0.078526773712,"ELT2peak08739","WBGene00020829",1834445,1839024,"-","inside",-1244,654,"Overlapping"
"ELT2peak08740",1.552541,1.462343,2.333424,2.226508,2.949959,3.862497,1,0,0,25,4,11,"0.629","1.000","1.507","2.280","3.406","-0.933","-0.123","1.056","ELT2peak08740","Increasing",0.911774616169333,"ELT2peak08740","WBGene00000460",1853874,1856189,"-","overlapStart",-1270,295,"Overlapping"
"ELT2peak08746",1.392317,1.463947,1.526069,1.695994,2.147899,2.386059,0,0,1,17.5,3,9,"0.861","1.000","1.428","1.611","2.267","-0.772","-0.357","1.130","ELT2peak08746","L3-high",0.194563939877583,"ELT2peak08746","WBGene00018689",1962573,1966188,"+","inside",741,709,"Overlapping"
"ELT2peak08748",2.136663,0.942969,2.9855,2.773996,4.437406,5.33823,0,0,1,6,4,11,"0.608","1.000","1.540","2.880","4.888","-0.927","-0.132","1.060","ELT2peak08748","Increasing",2.83948004692133,"ELT2peak08748","WBGene00022419",2013151,2018062,"+","inside",-767,1388,"Overlapping"
"ELT2peak08750",0.713379,0.623624,2.613532,2.367371,4.110424,4.321928,0,0,1,1.5,4,10,"0.901","1.000","0.669","2.490","4.216","-1.009","0.018","0.991","ELT2peak08750","Increasing",3.14727020172508,"ELT2peak08750","WBGene00022413",2019148,2025737,"+","inside",-570,2357,"Overlapping"
"ELT2peak08751",1.807355,2.736966,2.847997,3.883621,5.656913,6.147899,0,0,1,4,3,11,"0.651","1.000","2.272","3.366","5.902","-0.846","-0.258","1.104","ELT2peak08751","L3-high",3.46817896203858,"ELT2peak08751","WBGene00022413",2019148,2025737,"+","overlapEnd",3170,13,"Overlapping"
"ELT2peak08752",0.222392,0.144948,2.526069,2.111031,2.447459,2.032422,0,0,1,61,2,8,"0.495","1.000","0.184","2.319","2.240","-1.154","0.610","0.545","ELT2peak08752","Post-embryonic",1.46535673951008,"ELT2peak08752","WBGene00022412",2026642,2031010,"+","inside",-1171,595,"Overlapping"
"ELT2peak08753",1.828114,1.584963,2.43296,2.526069,4.184424,4.534922,1,0,1,136.375,3,11,"0.681","1.000","1.707","2.480","4.360","-0.837","-0.270","1.107","ELT2peak08753","L3-high",1.86193509279808,"ELT2peak08753","WBGene00022412",2026642,2031010,"+","overlapEnd",2264,583,"Overlapping"
"ELT2peak08754",2.201634,1.812373,2.9855,2.526069,2.321928,2.862497,1,0,1,70,2,6,"0.850","1.000","2.007","2.756","2.592","-1.130","0.773","0.357","ELT2peak08754","Post-embryonic",0.154983059804333,"ELT2peak08754","WBGene00022418",2039397,2046360,"-","inside",-2334,735,"Overlapping"
"ELT2peak08755",1.222392,1.463947,1.263034,1.400538,4.816693,5.091315,0,0,1,20,3,9,"0.989","1.000","1.343","1.332","4.954","-0.575","-0.580","1.155","ELT2peak08755","L3-high",4.35978643499775,"ELT2peak08755","WBGene00022418",2039397,2046360,"-","inside",-3235,8,"Overlapping"
"ELT2peak08756",2.122857,2.152003,2.526069,2.43296,3.343623,3.584962,0,1,1,37.25,3,9,"0.773","1.000","2.137","2.480","3.464","-0.808","-0.311","1.119","ELT2peak08756","L3-high",0.474562268055083,"ELT2peak08756","WBGene00022411",2051907,2054048,"+","overlapStart",-1054,354,"Overlapping"
"ELT2peak08757",0.70156,0.793549,2.526069,2.773996,2.862496,3.07195,0,0,1,123.5,4,8,"0.760","1.000","0.748","2.650","2.967","-1.145","0.440","0.704","ELT2peak08757","Increasing",1.44116010061108,"ELT2peak08757","WBGene00022411",2051907,2054048,"+","overlapEnd",1372,250,"Overlapping"
"ELT2peak08758",2.125095,1.93587,3.280956,3.280956,3.871485,4.040414,0,1,1,30.5,4,10,"0.996","1.000","2.030","3.281","3.956","-1.084","0.196","0.887","ELT2peak08758","Increasing",0.954453894555584,"ELT2peak08758","WBGene00018657",2066554,2070441,"-","inside",-62,1549,"Overlapping"
"ELT2peak08759",1.936088,2,2.526069,2.43296,4.534922,4.816693,0,0,1,112,3,9,"0.910","1.000","1.968","2.480","4.676","-0.746","-0.390","1.136","ELT2peak08759","L3-high",2.06954803102525,"ELT2peak08759","WBGene00018657",2066554,2070441,"-","inside",-1508,47,"Overlapping"
"ELT2peak08760",1.222393,1.364411,3.655352,3.526069,2.241008,2.785329,0,0,1,13,2,5,"0.971","1.000","1.293","3.591","2.513","-1.020","0.979","0.041","ELT2peak08760","Post-embryonic",1.32109223674308,"ELT2peak08760","WBGene00018657",2066554,2070441,"-","overlapStart",-2278,16,"Overlapping"
"ELT2peak08762",2.392317,2.067114,1.941106,1.695994,4.220048,4.707986,1,0,1,33.5,3,7,"0.910","1.000","2.230","1.819","4.464","-0.427","-0.716","1.143","ELT2peak08762","L3-high",2.02660931823025,"ELT2peak08762","WBGene00003087",2089659,2093253,"+","overlapStart",-1760,346,"Overlapping"
"ELT2peak08763",1.780388,1.686339,3.792855,3.333424,5.74514,6.157117,1,1,1,17.3333333333333,4,11,"0.712","1.000","1.733","3.563","5.951","-0.953","-0.088","1.041","ELT2peak08763","Increasing",4.473352211587,"ELT2peak08763","WBGene00003087",2089659,2093253,"+","inside",-660,839,"Overlapping"
"ELT2peak08770",3.871485,4.07215,4.655352,5.095924,6.022368,6.17538,1,1,1,31.3333333333333,4,11,"0.685","1.000","3.972","4.876","6.099","-0.946","-0.100","1.046","ELT2peak08770","Increasing",1.13959452701808,"ELT2peak08770","WBGene00020765",2196525,2203961,"-","overlapStart",-3833,247,"Overlapping"
"ELT2peak08772",2.281286,2.096861,3.226509,3.333424,3.617384,3.801096,1,1,1,8.33333333333333,4,10,"0.957","1.000","2.189","3.280","3.709","-1.111","0.281","0.829","ELT2peak08772","Increasing",0.614204910495583,"ELT2peak08772","WBGene00003968",2215630,2218980,"+","overlapStart",-1865,192,"Overlapping"
"ELT2peak08774",2.333424,2.056583,1.9855,2.613532,2.534922,3.370291,1,0,1,8.5,3,9,"0.966","1.000","2.195","2.300","2.953","-0.700","-0.445","1.145","ELT2peak08774","L3-high",0.168568728242583,"ELT2peak08774","WBGene00020508",2234321,2236706,"+","overlapStart",-1292,298,"Overlapping"
"ELT2peak08776",0.622,0.756074,1.695994,1.111031,3.110424,2.862497,0,0,1,309,3,11,"0.620","1.000","0.689","1.404","2.986","-0.854","-0.246","1.100","ELT2peak08776","L3-high",1.38239239152608,"ELT2peak08776","WBGene00020507",2237911,2240255,"+","inside",-23,290,"Overlapping"
"ELT2peak08777",1.222393,0.962525,1.9855,2.480265,2.032421,1.949959,0,0,1,1,2,6,"0.840","1.000","1.092","2.233","1.991","-1.131","0.767","0.364","ELT2peak08777","Post-embryonic",0.361116405711583,"ELT2peak08777","WBGene00020507",2237911,2240255,"+","overlapEnd",1376,43,"Overlapping"
"ELT2peak08778",1.222392,1.350907,2.526069,2.695994,3.386058,3.862497,0,0,1,124.5,4,10,"0.970","1.000","1.287","2.611","3.624","-1.041","0.088","0.953","ELT2peak08778","Increasing",1.374193300804,"ELT2peak08778","WBGene00004423",2241738,2242618,"-","overlapEnd",364,334,"Overlapping"
"ELT2peak08783",1.222392,0.736966,2.918386,3.570463,1.949959,2.254814,0,0,1,41.5,2,5,"0.957","1.000","0.980","3.244","2.102","-0.997","1.003","-0.006","ELT2peak08783","Post-embryonic",1.28229918396175,"ELT2peak08783","WBGene00020426",2294750,2298193,"+","overlapEnd",1732,374,"Overlapping"
"ELT2peak08787",1.286523,1.666576,2.663572,3.017922,5.091315,4.928586,0,1,1,64.5,4,11,"0.562","1.000","1.477","2.841","5.010","-0.916","-0.151","1.067","ELT2peak08787","Increasing",3.17523354503658,"ELT2peak08787","WBGene00020767",2360097,2364818,"+","overlapEnd",2572,173,"Overlapping"
"ELT2peak08792",1.433897,1.304006,1.695994,1.883621,2.321928,3.321928,0,0,1,2,3,11,"0.686","1.000","1.369","1.790","2.822","-0.835","-0.273","1.108","ELT2peak08792","L3-high",0.558922201468083,"ELT2peak08792","WBGene00194641",2381581,2382335,"+","overlapEnd",474,150,"Overlapping"
"ELT2peak08793",1.752907,1.530515,2.641546,2.298658,3.032422,2.447459,1,0,1,36.25,4,8,"0.918","1.000","1.642","2.470","2.740","-1.122","0.325","0.797","ELT2peak08793","Increasing",0.327525416605583,"ELT2peak08793","WBGene00016620",2398812,2402057,"-","overlapStart",-1811,267,"Overlapping"
"ELT2peak08794",1.222392,0.86755,2.280956,2.570463,4.370291,4.707986,0,0,1,14.5,4,11,"0.592","1.000","1.045","2.426","4.539","-0.923","-0.139","1.062","ELT2peak08794","Increasing",3.09703791024658,"ELT2peak08794","WBGene00016614",2409570,2412966,"+","inside",-102,1478,"Overlapping"
"ELT2peak08795",2.056382,1.559427,1.432959,1.432959,2.562936,1.447459,1,0,0,173.5,0,0,"0.000","0.000","1.808","1.433","2.005","0.204","-1.086","0.882","ELT2peak08795","Not-changing or not IDR-passing",0.08449425945025,"ELT2peak08795","WBGene00001551",2420462,2427504,"-","overlapStart",-3109,43,"Overlapping"
"ELT2peak08796",2.321928,2.093109,2.226508,2.226508,2.534922,2.884864,1,0,1,23.5,0,0,"0.000","0.000","2.208","2.227","2.710","-0.610","-0.544","1.154","ELT2peak08796","Not-changing or not IDR-passing",0.0810669662642501,"ELT2peak08796","WBGene00020301",2429862,2439158,"-","inside",1752,2482,"Overlapping"
"ELT2peak08797",1.724893,1.415037,1.613532,1.333424,2.184425,2.769387,1,0,0,8.5,3,7,"0.949","1.000","1.570","1.473","2.477","-0.488","-0.662","1.150","ELT2peak08797","L3-high",0.306453244972333,"ELT2peak08797","WBGene00020301",2429862,2439158,"-","inside",-408,2993,"Overlapping"
"ELT2peak08799",1.163499,1.858644,2.526069,1.695994,1.669851,0.447459,1,0,0,63,2,2,"0.474","1.000","1.511","2.111","1.059","-0.093","1.043","-0.950","ELT2peak08799","Post-embryonic",0.278688164804083,"ELT2peak08799","WBGene00001484",2445500,2455949,"-","inside",-2293,2486,"Overlapping"
"ELT2peak08800",1.171766,0.888969,3.811471,2.773996,2.769387,3.254814,0,1,1,320.25,2,6,"0.679","1.000","1.030","3.293","3.012","-1.147","0.687","0.460","ELT2peak08800","Post-embryonic",1.52072008032233,"ELT2peak08800","WBGene00019320",2480755,2482911,"-","overlapStart",-687,316,"Overlapping"
"ELT2peak08801",1.444785,1.929611,2.226508,2.695994,3.816693,3.769387,1,0,1,53.25,4,11,"0.502","1.000","1.687","2.461","3.793","-0.901","-0.175","1.076","ELT2peak08801","Increasing",1.134565086049,"ELT2peak08801","WBGene00001844",2489044,2494339,"+","overlapStart",-2803,530,"Overlapping"
"ELT2peak08802",1.31354,1.573735,2.226508,2.9855,2.720478,3.07195,0,0,1,11,4,8,"0.856","1.000","1.444","2.606","2.896","-1.134","0.378","0.756","ELT2peak08802","Increasing",0.590882702129083,"ELT2peak08802","WBGene00019317",2496180,2501001,"+","overlapStart",-2448,316,"Overlapping"
"ELT2peak08803",1.655352,1.415037,1.773996,1.584962,2.321928,2.769387,0,0,1,8,3,9,"0.963","1.000","1.535","1.679","2.546","-0.704","-0.440","1.145","ELT2peak08803","L3-high",0.298686447528583,"ELT2peak08803","WBGene00044061",2525191,2532457,"-","inside",657,2624,"Overlapping"
"ELT2peak08804",1,1.880701,3.333424,3.773996,4.862496,5.271888,0,0,1,0.5,4,10,"0.983","1.000","1.440","3.554","5.067","-1.050","0.110","0.941","ELT2peak08804","Increasing",3.31848256778108,"ELT2peak08804","WBGene00044061",2525191,2532457,"-","inside",-2646,748,"Overlapping"
"ELT2peak08807",0.485427,0.353637,2.111032,2.226509,3.839777,4.656912,0,0,1,6.5,4,11,"0.776","1.000","0.420","2.169","4.248","-0.970","-0.057","1.027","ELT2peak08807","Increasing",3.67404475191908,"ELT2peak08807","WBGene00018716",2543391,2548028,"-","overlapEnd",2185,105,"Overlapping"
"ELT2peak08808",1.278976,1.900464,3.655352,3.847997,4.375566,5.045718,0,0,1,6.5,4,10,"0.977","1.000","1.590","3.752","4.711","-1.102","0.251","0.851","ELT2peak08808","Increasing",2.55563667603508,"ELT2peak08808","WBGene00018716",2543391,2548028,"-","inside",858,1308,"Overlapping"
"ELT2peak08810",1.826464,1.736965,4.526069,4.169925,3.208271,3.736966,0,1,1,25.25,2,6,"0.969","1.000","1.782","4.348","3.473","-1.088","0.879","0.208","ELT2peak08810","Post-embryonic",1.70187495421408,"ELT2peak08810","WBGene00000004",2552436,2557726,"+","inside",-1380,888,"Overlapping"
"ELT2peak08811",1.691878,1.614346,2.333424,2.43296,2.862497,2.949959,0,0,1,1.5,4,10,"0.983","1.000","1.653","2.383","2.906","-1.050","0.110","0.941","ELT2peak08811","Increasing",0.396147195525333,"ELT2peak08811","WBGene00018717",2557976,2559638,"-","overlapStart",-965,360,"Overlapping"
"ELT2peak08812",2.983205,2.552541,3.226509,3.333424,4.617384,5.266219,1,0,1,16.875,3,9,"0.826","1.000","2.768","3.280","4.942","-0.788","-0.337","1.125","ELT2peak08812","L3-high",1.29165007384658,"ELT2peak08812","WBGene00206381",2565415,2565973,"+","includeFeature",26,77,"Overlapping"
"ELT2peak08813",1.722821,1.612074,4.613532,4.307428,7.233184,7.506352,1,1,1,71.3333333333333,4,11,"0.855","1.000","1.667","4.460","7.370","-0.993","-0.014","1.007","ELT2peak08813","Increasing",8.13024104962008,"ELT2peak08813","WBGene00018719",2566557,2572653,"-","inside",355,2293,"Overlapping"
"ELT2peak08814",2.112768,1.615336,4.754888,5.017922,5.097713,5.511154,1,1,1,33.6666666666667,4,8,"0.721","1.000","1.864","4.886","5.304","-1.148","0.462","0.685","ELT2peak08814","Increasing",3.52426505816058,"ELT2peak08814","WBGene00019143",2578211,2580574,"-","overlapStart",-1402,178,"Overlapping"
"ELT2peak08820",1.392317,1.736966,1.432959,1.333424,2.769387,1.669851,1,0,1,148.75,3,7,"0.863","1.000","1.565","1.383","2.220","-0.359","-0.771","1.130","ELT2peak08820","L3-high",0.19358843179375,"ELT2peak08820","WBGene00003630",2594003,2606732,"+","inside",-1448,4133,"Overlapping"
"ELT2peak08821",2.874469,2.389042,2.111031,2.38405,3.447459,4.07195,1,0,1,34.25,3,7,"0.831","1.000","2.632","2.248","3.760","-0.315","-0.804","1.120","ELT2peak08821","L3-high",0.617755012620333,"ELT2peak08821","WBGene00020195",2610826,2615726,"-","inside",-76,1994,"Overlapping"
"ELT2peak08822",0.63743,1.080619,2.280956,2.226509,3.032422,2.892244,0,0,1,15.5,4,10,"0.992","1.000","0.859","2.254","2.962","-1.090","0.214","0.876","ELT2peak08822","Increasing",1.14520528667275,"ELT2peak08822","WBGene00018837",2621274,2664373,"-","inside",-21158,132,"Overlapping"
"ELT2peak08823",1.428843,1.63743,2.748461,2.158337,3.551795,4.06413,0,1,1,25.75,4,11,"0.622","1.000","1.533","2.453","3.808","-0.931","-0.127","1.057","ELT2peak08823","Increasing",1.30942644578575,"ELT2peak08823","WBGene00015621",2668127,2670590,"+","overlapStart",-1330,160,"Overlapping"
"ELT2peak08824",0.932886,0.798366,2.43296,1.9855,3.906891,4.288761,0,0,1,9.5,4,11,"0.657","1.000","0.866","2.209","4.098","-0.939","-0.112","1.051","ELT2peak08824","Increasing",2.636530566672,"ELT2peak08824","WBGene00004780",2673471,2682379,"+","inside",1623,2478,"Overlapping"
"ELT2peak08825",1.992911,1.771181,2.570463,2.169925,3.423211,3.750022,1,0,1,16,3,11,"0.695","1.000","1.882","2.370","3.587","-0.833","-0.277","1.109","ELT2peak08825","L3-high",0.770588792980083,"ELT2peak08825","WBGene00020511",2682754,2687184,"-","overlapStart",-2473,147,"Overlapping"
"ELT2peak08826",1.681824,2.039528,3.480265,2.773996,2.769387,3.599462,1,0,1,104.75,4,8,"0.569","1.000","1.861","3.127","3.184","-1.154","0.539","0.615","ELT2peak08826","Increasing",0.55991661570975,"ELT2peak08826","WBGene00020510",2688945,2692022,"+","overlapStart",-1774,298,"Overlapping"
"ELT2peak08828",1.840522,1.543362,3.41684,3.400538,5.506352,5.78136,0,1,1,23,4,11,"0.713","1.000","1.692","3.409","5.644","-0.954","-0.087","1.041","ELT2peak08828","Increasing",3.92680267388233,"ELT2peak08828","WBGene00020158",2694908,2698273,"+","overlapStart",-1692,233,"Overlapping"
"ELT2peak08829",2.018859,1.726982,4.624101,4.559492,6.115162,6.520708,0,1,1,14.5,4,10,"0.996","1.000","1.873","4.592","6.318","-1.066","0.148","0.918","ELT2peak08829","Increasing",5.02166578829475,"ELT2peak08829","WBGene00020158",2694908,2698273,"+","inside",-1080,318,"Overlapping"
"ELT2peak08830",0.868755,0.460841,3.049631,3.280956,3.769387,4.032422,0,0,1,240.5,4,8,"0.895","1.000","0.665","3.165","3.901","-1.127","0.347","0.780","ELT2peak08830","Increasing",2.87766442803058,"ELT2peak08830","WBGene00020158",2694908,2698273,"+","inside",224,773,"Overlapping"
"ELT2peak08831",2.029747,1.874469,4.675816,4.634593,5.30544,5.370291,1,1,1,89.5,4,8,"0.858","1.000","1.952","4.655","5.338","-1.134","0.376","0.757","ELT2peak08831","Increasing",3.20601842967325,"ELT2peak08831","WBGene00020160",2698257,2705859,"-","overlapEnd",3622,404,"Overlapping"
"ELT2peak08832",3.112768,2.925232,2.555816,2.555816,2.184425,2.74514,1,0,1,19,0,0,"0.000","0.000","3.019","2.556","2.465","1.141","-0.417","-0.724","ELT2peak08832","Not-changing or not IDR-passing",0.0883305922140833,"ELT2peak08832","WBGene00020160",2698257,2705859,"-","inside",-2144,1296,"Overlapping"
"ELT2peak08834",1.064851,1.061401,1.695994,2.43296,0.447459,0.669851,1,0,0,44,2,2,"0.517","1.000","1.063","2.064","0.559","-0.216","1.090","-0.874","ELT2peak08834","Post-embryonic",0.587449118454333,"ELT2peak08834","WBGene00006742",2710918,2763526,"-","inside",-16020,9786,"Overlapping"
"ELT2peak08835",1.148392,1.489038,1.432959,1.695994,5.220048,5.576742,0,0,1,7,3,9,"0.996","1.000","1.319","1.564","5.398","-0.630","-0.523","1.153","ELT2peak08835","L3-high",5.23385311365409,"ELT2peak08835","WBGene00006742",2710918,2763526,"-","inside",-17482,8583,"Overlapping"
"ELT2peak08837",2.879505,3.253757,3.280956,3.570463,2.254814,2.184424,1,0,0,3.5,2,2,"0.363","1.000","3.067","3.426","2.220","0.263","0.842","-1.105","ELT2peak08837","Post-embryonic",0.38350349858275,"ELT2peak08837","WBGene00006496",2772042,2799247,"+","inside",9052,4242,"Overlapping"
"ELT2peak08838",1.784271,1.85561,1.9855,2.526069,1.447459,1.184425,1,0,0,9.5,2,2,"0.428","1.000","1.820","2.256","1.316","0.048","0.975","-1.023","ELT2peak08838","Post-embryonic",0.221213067524083,"ELT2peak08838","WBGene00006496",2772042,2799247,"+","inside",10639,2673,"Overlapping"
"ELT2peak08839",2.15368,2.254573,2.998557,2.818851,4.960528,5.184424,1,1,1,24,3,9,"0.803","1.000","2.204","2.909","5.072","-0.797","-0.325","1.122","ELT2peak08839","L3-high",2.23429459594008,"ELT2peak08839","WBGene00050944",2807911,2809635,"-","overlapStart",-1117,104,"Overlapping"
"ELT2peak08840",1.629568,2.115477,4.140779,4.408712,5.477206,5.707987,1,1,1,129.833333333333,4,10,"0.997","1.000","1.873","4.275","5.593","-1.082","0.192","0.890","ELT2peak08840","Increasing",3.55772619423433,"ELT2peak08840","WBGene00022201",2834222,2840292,"-","inside",105,2465,"Overlapping"
